"spp","order","diet","sex","len","sa_stom","sa_si","sa_caec","sa_col","vol_stom","vol_si","vol_caec","vol_col"
"Ovis","Artiodactyla","Frugivore",NA,99,13760,10591,403,1093,7568,3496,461,533
"Ovis","Artiodactyla","Frugivore",NA,99,11702,10299,150,959,8040,3523,119,701
"Pan_gorilla","Primates","Frugivore","m",84,1087,4018,590,4813,3370,1897,955,7006
"Pan_troglodytes","Primates","Frugivore","f",83,472,1700,162,1812,965,815,91,1451
"Pan_troglodytes","Primates","Frugivore","m",72,690,3761,286,2925,1705,1967,407,1335
"Panthera","Carnivora","Faunivore","m",84,421,1580,22,342,813,593,10,163
"Papio_papio","Primates","Frugivore","f",29,20,173,4,67,8,19,1,11
"Papio_sphinx","Primates","Frugivore","m",72,402,2854,64,1894,760,1596,47,1518
"Papio_sphinx","Primates","Frugivore","f",51,250,1143,50,1228,372,409,33,1395
"Papio_sphinx","Primates","Frugivore","f",63,322,2435,70,2240,543,968,195,1782
"Perodicticus","Primates","Frugivore","m",31,36,200,21,333,20,34,8,116
"Phaner","Primates","Frugivore","f",20,14,95,43,130,5,26,6,27
"Phocoena","Cetacea","Faunivore","m",130,1151,11213,11213,462,3672,6831,369,2950
"Phocoena","Cetacea","Faunivore","f",161,1501,21309,21309,836,5471,18733,652,5678
"Phocoena","Cetacea","Faunivore",NA,168,1501,12455,610,885,5471,9257,730,25
"Poiana","Carnivora","Faunivore",NA,29,36,184,1,27,20,28,1,6
"Pongo","Primates","Frugivore","m",61,256,1263,70,978,385,461,56,1071
"Pongo","Primates","Frugivore","m",95,880,6564,155,5774,2457,4046,55,7800
"Potamogale","Afrosoricida","Faunivore",NA,23,19,568,14,39,8,67,4,11
"Presbytis_cristata","Primates","Frugivore","f",50,1694,1929,90,966,4831,604,64,645
"Presbytis_cristata","Primates","Frugivore","f",53,1175,1329,30,607,2209,385,12,285
"Presbytis_entellus","Primates","Frugivore","m",63,1585,1673,105,978,3974,633,80,845
"Presbytis_entellus","Primates","Frugivore","m",65,1439,1167,140,760,3438,330,104,505
"Presbytis_melalophos","Primates","Frugivore","m",51,1020,1386,60,532,2072,336,34,156
"Presbytis_melalophos","Primates","Frugivore","m",44,694,1075,23,369,1128,247,8,132
"Presbytis_melalophos","Primates","Frugivore","f",47,1648,1796,60,552,3521,517,36,224
"Presbytis_melalophos","Primates","Frugivore","m",49,1078,1389,42,695,2158,395,20,362
"Presbytis_melalophos","Primates","Frugivore","f",50,1382,1695,68,848,3327,588,43,469
"Presbytis_melalophos","Primates","Frugivore","f",52,1274,2021,38,612,2296,633,14,292
"Presbytis_obscura","Primates","Frugivore","m",50,1363,1953,64,670,3237,699,41,343
"Presbytis_obscura","Primates","Frugivore","f",45,356,1311,52,558,1788,397,27,264
"Presbytis_obscura","Primates","Frugivore","m",53,1351,1969,88,902,2974,734,51,588
"Presbytis_obscura","Primates","Frugivore","f",56,1282,1129,90,869,3139,327,64,546
"Presbytis_rubicunda","Primates","Frugivore","m",56,1125,1672,45,637,2259,505,20,329
"Presbytis_senex","Primates","Foliovore","f",48,938,740,139,548,1814,181,77,273
"Presbytis_senex","Primates","Foliovore","m",59,1416,687,139,548,3357,162,96,336
"Profelis","Carnivora","Faunivore","f",57,134,404,2,92,120,88,1,32
"Pygathrix","Primates","Frugivore","f",53,1243,1512,36,578,2960,444,12,261
"Pygathrix","Primates","Frugivore","f",60,1431,1601,80,854,3442,531,42,433
"Saguinus","Primates","Frugivore","f",23,32,113,8,57,19,19,2,11
"Saguinus","Primates","Frugivore","m",24,19,150,14,67,8,36,3,15
"Saguinus","Primates","Frugivore","f",23,66,157,14,72,50,38,4,21
"Saguinus","Primates","Frugivore","m",20,26,183,12,46,13,39,3,8
"Saimiri","Primates","Faunivore","m",30,61,308,16,53,45,70,4,14
"Saimiri","Primates","Faunivore","f",28,49,342,18,48,32,103,4,12
"Saimiri","Primates","Frugivore","f",30,63,156,19,46,47,81,6,11
"Sciurus","Rodentia","Frugivore","m",24,26,307,54,5,13,43,29,30
"Sus","Artiodactyla","Frugivore","m",54,381,1057,30,107,701,294,10,58
"Sus","Artiodactyla","Frugivore","m",55,193,656,30,71,253,193,10,45
"Sus","Artiodactyla","Frugivore","m",55,216,696,30,68,297,166,10,35
"Sus","Artiodactyla","Frugivore","m",98,160,14425,440,333,1597,9119,700,3710
"Sus","Artiodactyla","Frugivore",NA,126,917,9968,432,464,2610,4828,619,5855
"Sus","Artiodactyla","Frugivore",NA,123,792,14036,630,332,2097,7420,902,6042
"Tursiops","Cetacea","Faunivore",NA,230,1588,25340,1106,200,3701,20913,1688,208
"Vulpes","Carnivora","Frugivore","m",64,406,929,48,78,768,329,23,91
"Vulpes","Carnivora","Frugivore","f",65,308,993,75,50,508,372,30,204
"Vulpes","Carnivora","Frugivore","m",52,320,992,56,68,538,329,18,100
"Vulpes","Carnivora","Frugivore","f",58,352,854,48,57,621,302,15,131
"Vulpes","Carnivora","Frugivore","m",56,239,929,54,60,392,340,19,117
