"","long","lat","rich"
"53",-66.4693080307877,-39.4136722903147,36
"54",-64.9593616176099,-39.4136722903147,33
"55",-63.4494152044321,-39.4136722903147,35
"56",-73.2640668900879,-38.1060203381495,58
"57",-71.7541204769101,-38.1060203381495,40
"58",-70.2441740637323,-38.1060203381495,40
"59",-68.7342276505545,-38.1060203381495,35
"60",-67.2242812373766,-38.1060203381495,34
"61",-65.7143348241988,-38.1060203381495,42
"62",-64.204388411021,-38.1060203381495,45
"63",-62.6944419978432,-38.1060203381495,45
"64",-61.1844955846653,-38.1060203381495,39
"65",-59.6745491714875,-38.1060203381495,27
"66",-58.1646027583097,-38.1060203381495,29
"67",-72.509093683499,-36.7983683859843,58
"68",-70.9991472703212,-36.7983683859843,41
"69",-69.4892008571434,-36.7983683859843,35
"70",-67.9792544439655,-36.7983683859843,34
"71",-66.4693080307877,-36.7983683859843,37
"72",-64.9593616176099,-36.7983683859843,45
"73",-63.4494152044321,-36.7983683859843,44
"74",-61.9394687912542,-36.7983683859843,32
"75",-60.4295223780764,-36.7983683859843,29
"76",-58.9195759648986,-36.7983683859843,27
"77",-57.4096295517208,-36.7983683859843,70
"78",-71.7541204769101,-35.4907164338192,33
"79",-70.2441740637323,-35.4907164338192,40
"80",-68.7342276505545,-35.4907164338192,36
"81",-67.2242812373766,-35.4907164338192,37
"82",-65.7143348241988,-35.4907164338192,41
"83",-64.204388411021,-35.4907164338192,44
"84",-62.6944419978432,-35.4907164338192,38
"85",-61.1844955846653,-35.4907164338192,35
"86",-59.6745491714875,-35.4907164338192,31
"87",-58.1646027583097,-35.4907164338192,35
"88",-70.9991472703212,-34.183064481654,38
"89",-69.4892008571434,-34.183064481654,40
"90",-67.9792544439655,-34.183064481654,36
"91",-66.4693080307877,-34.183064481654,40
"92",-64.9593616176099,-34.183064481654,46
"93",-63.4494152044321,-34.183064481654,44
"94",-61.9394687912542,-34.183064481654,35
"95",-60.4295223780764,-34.183064481654,41
"96",-58.9195759648986,-34.183064481654,93
"97",-57.4096295517208,-34.183064481654,84
"98",-55.899683138543,-34.183064481654,45
"99",-54.3897367253651,-34.183064481654,50
"100",-70.2441740637323,-32.8754125294888,37
"101",-68.7342276505545,-32.8754125294888,39
"102",-67.2242812373766,-32.8754125294888,40
"103",-65.7143348241988,-32.8754125294888,45
"104",-64.204388411021,-32.8754125294888,48
"105",-62.6944419978432,-32.8754125294888,45
"106",-61.1844955846653,-32.8754125294888,45
"107",-59.6745491714875,-32.8754125294888,50
"108",-56.6546563451319,-32.8754125294888,47
"109",-55.144709931954,-32.8754125294888,49
"110",-53.6347635187762,-32.8754125294888,101
"111",-70.9991472703212,-31.5677605773236,33
"112",-69.4892008571434,-31.5677605773236,26
"113",-67.9792544439655,-31.5677605773236,45
"114",-66.4693080307877,-31.5677605773236,49
"115",-64.9593616176099,-31.5677605773236,56
"116",-63.4494152044321,-31.5677605773236,50
"117",-61.9394687912542,-31.5677605773236,52
"118",-60.4295223780764,-31.5677605773236,52
"119",-58.9195759648986,-31.5677605773236,59
"120",-57.4096295517208,-31.5677605773236,61
"121",-55.899683138543,-31.5677605773236,57
"122",-54.3897367253651,-31.5677605773236,60
"123",-52.8797903121873,-31.5677605773236,103
"124",-51.3698438990095,-31.5677605773236,110
"125",-70.2441740637323,-30.2601086251584,30
"126",-68.7342276505545,-30.2601086251584,36
"127",-67.2242812373766,-30.2601086251584,42
"128",-65.7143348241988,-30.2601086251584,58
"129",-64.204388411021,-30.2601086251584,55
"130",-62.6944419978432,-30.2601086251584,49
"131",-61.1844955846653,-30.2601086251584,50
"132",-59.6745491714875,-30.2601086251584,60
"133",-58.1646027583097,-30.2601086251584,59
"134",-56.6546563451319,-30.2601086251584,63
"135",-55.144709931954,-30.2601086251584,62
"136",-53.6347635187762,-30.2601086251584,70
"137",-52.1248171055984,-30.2601086251584,76
"138",-70.9991472703212,-28.9524566729932,28
"139",-69.4892008571434,-28.9524566729932,23
"140",-67.9792544439655,-28.9524566729932,41
"141",-66.4693080307877,-28.9524566729932,64
"142",-64.9593616176099,-28.9524566729932,50
"143",-63.4494152044321,-28.9524566729932,53
"144",-61.9394687912542,-28.9524566729932,54
"145",-60.4295223780764,-28.9524566729932,55
"146",-58.9195759648986,-28.9524566729932,65
"147",-57.4096295517208,-28.9524566729932,68
"148",-55.899683138543,-28.9524566729932,93
"149",-54.3897367253651,-28.9524566729932,88
"150",-52.8797903121873,-28.9524566729932,94
"151",-51.3698438990095,-28.9524566729932,102
"152",-49.8598974858317,-28.9524566729932,147
"153",-70.2441740637323,-27.644804720828,47
"154",-68.7342276505545,-27.644804720828,27
"155",-67.2242812373766,-27.644804720828,37
"156",-65.7143348241988,-27.644804720828,83
"157",-64.204388411021,-27.644804720828,60
"158",-62.6944419978432,-27.644804720828,55
"159",-61.1844955846653,-27.644804720828,54
"160",-59.6745491714875,-27.644804720828,74
"161",-58.1646027583097,-27.644804720828,80
"162",-56.6546563451319,-27.644804720828,99
"163",-55.144709931954,-27.644804720828,110
"164",-53.6347635187762,-27.644804720828,99
"165",-52.1248171055984,-27.644804720828,102
"166",-50.6148706924206,-27.644804720828,114
"167",-49.1049242792428,-27.644804720828,115
"168",-69.4892008571434,-26.3371527686628,16
"169",-67.9792544439655,-26.3371527686628,27
"170",-66.4693080307877,-26.3371527686628,65
"171",-64.9593616176099,-26.3371527686628,80
"172",-63.4494152044321,-26.3371527686628,64
"173",-61.9394687912542,-26.3371527686628,63
"174",-60.4295223780764,-26.3371527686628,68
"175",-58.9195759648986,-26.3371527686628,99
"176",-57.4096295517208,-26.3371527686628,108
"177",-55.899683138543,-26.3371527686628,106
"178",-54.3897367253651,-26.3371527686628,119
"179",-52.8797903121873,-26.3371527686628,116
"180",-51.3698438990095,-26.3371527686628,118
"181",-49.8598974858317,-26.3371527686628,132
"182",-70.2441740637323,-25.0295008164976,41
"183",-68.7342276505545,-25.0295008164976,19
"184",-67.2242812373766,-25.0295008164976,28
"185",-65.7143348241988,-25.0295008164976,96
"186",-64.204388411021,-25.0295008164976,91
"187",-62.6944419978432,-25.0295008164976,68
"188",-61.1844955846653,-25.0295008164976,68
"189",-59.6745491714875,-25.0295008164976,83
"190",-58.1646027583097,-25.0295008164976,98
"191",-56.6546563451319,-25.0295008164976,111
"192",-55.144709931954,-25.0295008164976,107
"193",-53.6347635187762,-25.0295008164976,121
"194",-52.1248171055984,-25.0295008164976,120
"195",-50.6148706924206,-25.0295008164976,126
"196",-49.1049242792428,-25.0295008164976,141
"197",-69.4892008571434,-23.7218488643325,12
"198",-67.9792544439655,-23.7218488643325,27
"199",-66.4693080307877,-23.7218488643325,41
"200",-64.9593616176099,-23.7218488643325,114
"201",-63.4494152044321,-23.7218488643325,96
"202",-61.9394687912542,-23.7218488643325,77
"203",-60.4295223780764,-23.7218488643325,82
"204",-58.9195759648986,-23.7218488643325,96
"205",-57.4096295517208,-23.7218488643325,115
"206",-55.899683138543,-23.7218488643325,118
"207",-54.3897367253651,-23.7218488643325,129
"208",-52.8797903121873,-23.7218488643325,122
"209",-51.3698438990095,-23.7218488643325,127
"210",-49.8598974858317,-23.7218488643325,147
"211",-48.3499510726538,-23.7218488643325,154
"212",-46.840004659476,-23.7218488643325,189
"213",-70.2441740637323,-22.4141969121673,40
"214",-68.7342276505545,-22.4141969121673,27
"215",-67.2242812373766,-22.4141969121673,32
"216",-65.7143348241988,-22.4141969121673,89
"217",-64.204388411021,-22.4141969121673,115
"218",-62.6944419978432,-22.4141969121673,91
"219",-61.1844955846653,-22.4141969121673,83
"220",-59.6745491714875,-22.4141969121673,94
"221",-58.1646027583097,-22.4141969121673,96
"222",-56.6546563451319,-22.4141969121673,115
"223",-55.144709931954,-22.4141969121673,123
"224",-53.6347635187762,-22.4141969121673,130
"225",-52.1248171055984,-22.4141969121673,132
"226",-50.6148706924206,-22.4141969121673,138
"227",-49.1049242792428,-22.4141969121673,146
"228",-47.5949778660649,-22.4141969121673,161
"229",-46.0850314528871,-22.4141969121673,169
"230",-44.5750850397093,-22.4141969121673,202
"231",-43.0651386265315,-22.4141969121673,196
"232",-69.4892008571434,-21.1065449600021,19
"233",-67.9792544439655,-21.1065449600021,27
"234",-66.4693080307877,-21.1065449600021,37
"235",-64.9593616176099,-21.1065449600021,111
"236",-63.4494152044321,-21.1065449600021,117
"237",-61.9394687912542,-21.1065449600021,91
"238",-60.4295223780764,-21.1065449600021,91
"239",-58.9195759648986,-21.1065449600021,105
"240",-57.4096295517208,-21.1065449600021,118
"241",-55.899683138543,-21.1065449600021,125
"242",-54.3897367253651,-21.1065449600021,122
"243",-52.8797903121873,-21.1065449600021,129
"244",-51.3698438990095,-21.1065449600021,134
"245",-49.8598974858317,-21.1065449600021,131
"246",-48.3499510726538,-21.1065449600021,141
"247",-46.840004659476,-21.1065449600021,159
"248",-45.3300582462982,-21.1065449600021,159
"249",-43.8201118331204,-21.1065449600021,166
"250",-42.3101654199426,-21.1065449600021,164
"251",-68.7342276505545,-19.7988930078369,33
"252",-67.2242812373766,-19.7988930078369,31
"253",-65.7143348241988,-19.7988930078369,77
"254",-64.204388411021,-19.7988930078369,111
"255",-62.6944419978432,-19.7988930078369,113
"256",-61.1844955846653,-19.7988930078369,105
"257",-59.6745491714875,-19.7988930078369,111
"258",-58.1646027583097,-19.7988930078369,131
"259",-56.6546563451319,-19.7988930078369,133
"260",-55.144709931954,-19.7988930078369,133
"261",-53.6347635187762,-19.7988930078369,122
